title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type,RV_ratio,today,months

",29000.0,169000.0,2017-08-01,5200.0,潍坊,15.0,20.0,110.0,152.0,江铃集团新能源,微型车,0.17159763313609466,2018-11-23,15

众泰 2014款 云100 舒适型   ,"车源号：HC-56203537








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",15800.0,172000.0,2014-12-01,65800.0,长沙,18.0,18.0,120.0,155.0,众泰汽车,微型车,0.09186046511627907,2018-11-23,47

长安欧尚 奔奔mini-e 2017款 标准型    ,"车源号：HC-58634350







































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",26000.0,90000.0,2017-10-01,15500.0,重庆,17.3,30.0,150.0,151.0,长安汽车,微型车,0.28888888888888886,2018-11-23,13

特斯拉MODEL S 2016款 MODEL S 75D    ,"车源号：HC-38070864






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",650000.0,891000.0,2017-03-01,6200.0,北京,75.0,386.0,525.0,490.0,特斯拉,中大型车,0.7295173961840629,2018-11-23,20

北汽新能源 EC系列 2017款 EC200 灵动版    ,"车源号：HC-55910088





































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",48000.0,172000.0,2018-02-01,5600.000000000001,天津,,36.0,140.0,162.0,北汽新能源,微型车,0.27906976744186046,2018-11-23,9

特斯拉MODEL S 2016款 MODEL S 75D   ,"车源号：HC-61114600




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",800000.0,891000.0,2018-08-01,7800.0,西安,75.0,386.0,525.0,490.0,特斯拉,中大型车,0.8978675645342312,2018-11-23,3

宝骏E100 2017款 智享版  ,"车源号：HC-59101160






























































